week,game_id,playoff,home_team,home_score,away_score,away_team,favorite,spread,over_under
1,1,FALSE,Kansas City,34,20,Houston,KC,-9.5,53.5
1,2,FALSE,Atlanta,25,38,Seattle,ATL,-1.0,49.5
1,3,FALSE,Baltimore,38,6,Cleveland,BAL,-7.0,47.0
1,4,FALSE,Buffalo,27,17,New York (J),BUF,-6.5,39.5
1,5,FALSE,Las Vegas,34,30,Carolina,LV,-3.0,48.0
1,6,FALSE,Detroit,23,27,Chicago,DET,-2.5,42.5
1,7,FALSE,Indianapolis,20,27,Jacksonville,IND,-7.0,44.0
1,8,FALSE,Minnesota,34,43,Green Bay,MIN,-1.0,44.0
1,9,FALSE,New England,21,11,Miami,NE,-7.5,41.5
1,10,FALSE,Philadelphia,17,27,Washington,PHI,-5.5,41.5
1,11,FALSE,Los Angeles (C),16,13,Cincinnati,LAC,-2.5,41.5
1,12,FALSE,New Orleans,34,23,Tampa Bay,NO,-4.0,48.5
1,13,FALSE,San Francisco,20,24,Arizona,SF,-7.0,48.5
1,14,FALSE,Los Angeles (R),20,17,Dallas,LAR,-1.0,52.0
1,15,FALSE,Pittsburgh,26,16,New York (G),PIT,-6.0,44.0
1,16,FALSE,Tennessee,16,14,Denver,TEN,-3.5,41.5
2,17,FALSE,Cleveland,35,30,Cincinnati,CLE,-6.0,44.5
2,18,FALSE,Chicago,17,13,New York (G),CHI,-4.5,42.5
2,19,FALSE,Dallas,40,39,Atlanta,DAL,-3.0,53.0
2,20,FALSE,Green Bay,42,21,Detroit,GB,-7.0,51.0
2,21,FALSE,Indianapolis,28,11,Minnesota,IND,-3.5,49.0
2,22,FALSE,Buffalo,31,28,Miami,BUF,-5.5,42.5
2,23,FALSE,San Francisco,31,13,New York (J),SF,-7.0,41.5
2,24,FALSE,Philadelphia,19,37,Los Angeles (R),PHI,-2.0,46.0
2,25,FALSE,Pittsburgh,26,21,Denver,PIT,-6.0,41.0
2,26,FALSE,Tampa Bay,31,17,Carolina,TB,-7.5,47.0
2,27,FALSE,Tennessee,33,30,Jacksonville,TEN,-7.0,44.5
2,28,FALSE,Arizona,30,15,Washington,ARI,-7.5,46.5
2,29,FALSE,Baltimore,33,16,Houston,BAL,-7.5,49.5
2,30,FALSE,Kansas City,23,20,Los Angeles (C),KC,-8.5,47.0
