week,game_id,playoff,home_team,home_score,away_score,away_team,favorite,spread,over_under
1,1,FALSE,Chicago,3,10,Green Bay,CHI,-3.5,47.0
1,2,FALSE,Los Angeles (R),30,27,Carolina,LAR,-1.5,49.5
1,3,FALSE,Cleveland,13,43,Tennessee,CLE,-5.5,44.0
1,4,FALSE,Kansas City,40,26,Jacksonville,KC,-3.5,49.0
1,5,FALSE,Baltimore,59,10,Miami,BAL,-7.0,41.0
1,6,FALSE,Minnesota,28,12,Atlanta,MIN,-3.5,47.0
1,7,FALSE,New York (J),16,17,Buffalo,NYJ,-2.5,41.0
1,8,FALSE,Philadelphia,32,27,Washington,PHI,-10.5,44.0
1,9,FALSE,Los Angeles (C),30,24,Indianapolis,LAC,-6.0,44.5
1,10,FALSE,Seattle,21,20,Cincinnati,SEA,-9.5,44.0
1,11,FALSE,Detroit,27,27,Arizona,DET,-2.5,45.5
1,12,FALSE,Dallas,35,17,New York (G),DAL,-7.0,44.0
1,13,FALSE,Tampa Bay,17,31,San Francisco,TB,-1.0,51.0
1,14,FALSE,New England,33,3,Pittsburgh,NE,-5.5,49.0
1,15,FALSE,New Orleans,30,28,Houston,NO,-6.5,52.0
1,16,FALSE,Denver,16,24,Oakland Raiders,DEN,-3.0,42.5
2,17,FALSE,Carolina,14,20,Tampa Bay,CAR,-6.5,48.0
2,18,FALSE,Baltimore,23,17,Arizona,BAL,-13.0,46.0
2,19,FALSE,Cincinnati,17,41,San Francisco,CIN,-1.0,46.0
2,20,FALSE,Los Angeles (C),10,13,Detroit,LAC,-1.0,47.0
2,21,FALSE,Green Bay,21,16,Minnesota,GB,-3.0,43.0
2,22,FALSE,Houston,13,12,Jacksonville,HOU,-7.5,43.0
2,23,FALSE,New England,43,0,Miami,NE,-18.0,48.5
2,24,FALSE,Buffalo,28,14,New York (G),BUF,-1.0,44.5
2,25,FALSE,Pittsburgh,26,28,Seattle,PIT,-4.0,47.0
2,26,FALSE,Tennessee,17,19,Indianapolis,TEN,-3.0,43.5
2,27,FALSE,Dallas,31,21,Washington,DAL,-6.0,46.5
2,28,FALSE,Kansas City,28,10,Oakland Raiders,KC,-7.0,53.5
2,29,FALSE,Chicago,16,14,Denver,CHI,-3.0,41.0
2,30,FALSE,Los Angeles (R),27,9,New Orleans,LAR,-2.0,52.5
2,31,FALSE,Philadelphia,20,24,Atlanta,PHI,-1.0,53.0
2,32,FALSE,Cleveland,23,3,New York (J),CLE,-6.5,45.5
3,33,FALSE,Tennessee,7,20,Jacksonville,TEN,-1.5,38.0
3,34,FALSE,Buffalo,21,17,Cincinnati,BUF,-5.5,43.5
3,35,FALSE,Dallas,31,6,Miami,DAL,-22.0,46.5
3,36,FALSE,Green Bay,27,16,Denver,GB,-7.0,42.0
3,37,FALSE,Indianapolis,27,24,Atlanta,IND,-1.0,48.0
3,38,FALSE,Kansas City,33,28,Baltimore,KC,-4.5,52.0
3,39,FALSE,Minnesota,34,14,Oakland Raiders,MIN,-8.5,43.0
3,40,FALSE,New England,30,14,New York (J),NE,-20.5,43.0
3,41,FALSE,Philadelphia,24,27,Detroit,PHI,-4.0,45.0
3,42,FALSE,Arizona,20,38,Carolina,ARI,-2.5,46.0
3,43,FALSE,Tampa Bay,31,32,New York (G),TB,-5.0,48.0
3,44,FALSE,Los Angeles (C),20,27,Houston,LAC,-3.0,49.0
3,45,FALSE,San Francisco,24,20,Pittsburgh,SF,-6.0,44.5
3,46,FALSE,Seattle,27,33,New Orleans,SEA,-5.0,44.0
3,47,FALSE,Los Angeles (R),20,13,Cleveland,LAR,-4.0,48.0
3,48,FALSE,Chicago,31,15,Washington,CHI,-5.0,41.0
4,49,FALSE,Green Bay,27,34,Philadelphia,GB,-3.5,46.0
4,50,FALSE,Atlanta,10,24,Tennessee,ATL,-3.5,46.0
4,51,FALSE,Baltimore,25,40,Cleveland,BAL,-7.5,47.0
4,52,FALSE,New England,16,10,Buffalo,NE,-7.0,41.5
4,53,FALSE,Kansas City,34,30,Detroit,KC,-7.5,54.5
4,54,FALSE,Houston,10,16,Carolina,HOU,-5.5,47.5
4,55,FALSE,Indianapolis,24,31,Oakland Raiders,IND,-5.5,46.0
4,56,FALSE,Los Angeles (C),30,10,Miami,LAC,-15.0,43.5
4,57,FALSE,New York (G),24,3,Washington,NYG,-3.0,48.0
4,58,FALSE,Seattle,27,10,Arizona,SEA,-5.5,49.0
4,59,FALSE,Los Angeles (R),40,55,Tampa Bay,LAR,-9.0,48.5
4,60,FALSE,Minnesota,6,16,Chicago,MIN,-1.0,38.0
4,61,FALSE,Denver,24,26,Jacksonville,DEN,-2.5,37.0
4,62,FALSE,Dallas,10,12,New Orleans,DAL,-2.5,47.0
4,63,FALSE,Pittsburgh,27,3,Cincinnati,PIT,-3.5,45.5
5,64,FALSE,Seattle,30,29,Los Angeles (R),SEA,-1.5,49.0
5,65,FALSE,Carolina,34,27,Jacksonville,CAR,-3.0,41.0
5,66,FALSE,Cincinnati,23,26,Arizona,CIN,-3.0,45.0
5,67,FALSE,Houston,53,32,Atlanta,HOU,-4.0,49.0
5,68,FALSE,New Orleans,31,24,Tampa Bay,NO,-3.0,46.0
5,69,FALSE,Minnesota,28,10,New York (G),MIN,-5.5,44.0
5,70,FALSE,Chicago,21,24,Oakland Raiders,CHI,-6.5,39.5
5,71,FALSE,Philadelphia,31,6,New York (J),PHI,-14.0,43.0
5,72,FALSE,Baltimore,26,23,Pittsburgh,BAL,-3.5,44.0
5,73,FALSE,Tennessee,7,14,Buffalo,TEN,-3.5,39.5
5,74,FALSE,New England,33,7,Washington,NE,-15.5,42.0
5,75,FALSE,Los Angeles (C),13,20,Denver,LAC,-4.0,46.0
5,76,FALSE,Dallas,24,34,Green Bay,DAL,-3.5,46.5
5,77,FALSE,Kansas City,13,19,Indianapolis,KC,-10.5,55.5
5,78,FALSE,San Francisco,31,3,Cleveland,SF,-5.0,47.5
6,79,FALSE,New England,35,14,New York (G),NE,-16.5,43.0
6,80,FALSE,Carolina,37,26,Tampa Bay,CAR,-2.0,48.5
6,81,FALSE,Baltimore,23,17,Cincinnati,BAL,-10.5,47.0
6,82,FALSE,Cleveland,28,32,Seattle,CLE,-1.0,45.5
6,83,FALSE,Jacksonville,6,13,New Orleans,JAX,-2.5,42.5
6,84,FALSE,Kansas City,24,31,Houston,KC,-3.5,54.5
6,85,FALSE,Washington,17,16,Miami,WAS,-6.0,42.0
6,86,FALSE,Minnesota,38,20,Philadelphia,MIN,-3.5,44.0
6,87,FALSE,Atlanta,33,34,Arizona,ATL,-3.0,52.5
6,88,FALSE,Los Angeles (R),7,20,San Francisco,LAR,-3.0,49.5
6,89,FALSE,Denver,16,0,Tennessee,DEN,-1.0,41.0
6,90,FALSE,Dallas,22,24,New York (J),DAL,-7.0,43.5
6,91,FALSE,Los Angeles (C),17,24,Pittsburgh,LAC,-6.0,42.5
6,92,FALSE,Green Bay,23,22,Detroit,GB,-3.5,47.0
7,93,FALSE,Kansas City,30,6,Denver,KC,-3.0,49.5
7,94,FALSE,Los Angeles (R),37,10,Atlanta,LAR,-3.0,54.5
7,95,FALSE,Buffalo,31,21,Miami,BUF,-17.0,42.5
7,96,FALSE,Jacksonville,27,17,Cincinnati,JAX,-4.0,44.5
7,97,FALSE,Minnesota,42,30,Detroit,MIN,-2.5,43.5
7,98,FALSE,Green Bay,42,24,Oakland Raiders,GB,-5.5,48.0
7,99,FALSE,Indianapolis,30,23,Houston,IND,-1.5,46.5
7,100,FALSE,New York (G),21,27,Arizona,NYG,-3.5,49.5
7,101,FALSE,San Francisco,9,0,Washington,SF,-10.0,39.0
7,102,FALSE,Tennessee,23,20,Los Angeles (C),TEN,-3.0,42.5
7,103,FALSE,Chicago,25,36,New Orleans,CHI,-4.0,37.0
7,104,FALSE,Seattle,16,30,Baltimore,SEA,-3.0,49.0
7,105,FALSE,Dallas,37,10,Philadelphia,DAL,-3.0,50.0
7,106,FALSE,New England,33,0,New York (J),NE,-9.5,43.0
8,107,FALSE,Minnesota,19,9,Washington,MIN,-16.5,42.0
8,108,FALSE,Seattle,27,20,Atlanta,SEA,-7.5,48.5
8,109,FALSE,Buffalo,13,31,Philadelphia,BUF,-1.0,39.5
8,110,FALSE,Chicago,16,17,Los Angeles (C),CHI,-3.5,41.0
8,111,FALSE,Detroit,31,26,New York (G),DET,-6.5,49.0
8,112,FALSE,Indianapolis,15,13,Denver,IND,-6.0,41.0
8,113,FALSE,Jacksonville,29,15,New York (J),JAX,-7.0,39.5
8,114,FALSE,Los Angeles (R),24,10,Cincinnati,LAR,-12.0,48.5
8,115,FALSE,New Orleans,31,9,Arizona,NO,-12.5,47.5
8,116,FALSE,Tennessee,27,23,Tampa Bay,TEN,-2.0,45.5
8,117,FALSE,San Francisco,51,13,Carolina,SF,-4.5,41.0
8,118,FALSE,Houston,27,24,Oakland Raiders,HOU,-5.0,52.0
8,119,FALSE,New England,27,13,Cleveland,NE,-9.5,43.0
8,120,FALSE,Green Bay,31,24,Kansas City,GB,-5.0,48.0
8,121,FALSE,Pittsburgh,27,14,Miami,PIT,-14.0,44.0
9,122,FALSE,San Francisco,28,25,Arizona,SF,-10.5,43.5
9,123,FALSE,Jacksonville,3,26,Houston,JAX,-1.0,46.0
9,124,FALSE,Buffalo,24,9,Washington,BUF,-10.5,37.0
9,125,FALSE,Carolina,30,20,Tennessee,CAR,-3.5,43.0
9,126,FALSE,Minnesota,23,26,Kansas City,MIN,-5.5,46.0
9,127,FALSE,New York (J),18,26,Miami,NYJ,-3.5,42.5
9,128,FALSE,Philadelphia,22,14,Chicago,PHI,-5.0,41.0
9,129,FALSE,Pittsburgh,26,24,Indianapolis,PIT,-1.0,39.5
9,130,FALSE,Oakland Raiders,31,24,Detroit,Oakland Raiders,-2.5,51.5
9,131,FALSE,Seattle,40,34,Tampa Bay,SEA,-4.0,51.0
9,132,FALSE,Cleveland,19,24,Denver,CLE,-4.0,39.0
9,133,FALSE,Green Bay,11,26,Los Angeles (C),GB,-4.0,50.0
9,134,FALSE,New England,20,37,Baltimore,NE,-3.0,44.5
9,135,FALSE,Dallas,37,18,New York (G),DAL,-6.5,48.5
10,136,FALSE,Los Angeles (C),24,26,Oakland Raiders,LAC,-1.0,49.0
