week,game_id,playoff,home_team,home_score,away_score,away_team,favorite,spread,over_under
1,1,FALSE,Tampa Bay,31,29,Dallas,TB,-8.5,52.0
1,2,FALSE,Atlanta,6,32,Philadelphia,ATL,-3.5,49.0
1,3,FALSE,Buffalo,16,23,Pittsburgh,BUF,-6.5,48.5
1,4,FALSE,Carolina,19,14,New York (J),CAR,-4.0,45.0
1,5,FALSE,Minnesota,24,27,Cincinnati,MIN,-3.0,47.5
1,6,FALSE,San Francisco,41,33,Detroit,SF,-9.0,45.5
1,7,FALSE,Jacksonville,21,37,Houston,JAX,-3.0,45.0
1,8,FALSE,Seattle,28,16,Indianapolis,SEA,-3.0,49.0
1,9,FALSE,Tennessee,13,38,Arizona,TEN,-3.0,53.5
1,10,FALSE,Washington,16,20,Los Angeles (C),WAS,-1.5,45.0
1,11,FALSE,Kansas City,33,29,Cleveland,KC,-5.5,54.5
1,12,FALSE,New England,16,17,Miami,NE,-3.0,43.5
1,13,FALSE,Green Bay,3,38,New Orleans,GB,-3.5,49.5
1,14,FALSE,Denver,27,13,New York (G),DEN,-3.0,41.5
1,15,FALSE,Los Angeles (R),34,14,Chicago,LAR,-8.0,46.5
1,16,FALSE,Baltimore,27,33,Las Vegas,BAL,-4.0,50.5
2,17,FALSE,Washington,30,29,New York (G),WAS,-3.5,40.5
2,18,FALSE,New Orleans,7,26,Carolina,NO,-3.0,44.5
2,19,FALSE,Chicago,20,17,Cincinnati,CHI,-1.5,44.5
2,20,FALSE,Cleveland,31,21,Houston,CLE,-13.5,48.0
2,21,FALSE,Los Angeles (R),27,24,Indianapolis,LAR,-3.5,48.0
2,22,FALSE,Denver,23,13,Jacksonville,DEN,-6.0,45.0
2,23,FALSE,Buffalo,35,0,Miami,BUF,-3.5,47.5
2,24,FALSE,New England,25,6,New York (J),NE,-6.0,43.0
2,25,FALSE,San Francisco,17,11,Philadelphia,SF,-3.0,49.0
2,26,FALSE,Pittsburgh,17,26,Las Vegas,PIT,-6.0,47.0
2,27,FALSE,Arizona,34,33,Minnesota,ARI,-3.5,50.5
2,28,FALSE,Tampa Bay,48,25,Atlanta,TB,-12.5,51.5
2,29,FALSE,Los Angeles (C),17,20,Dallas,LAC,-3.0,55.0
2,30,FALSE,Seattle,30,33,Tennessee,SEA,-6.5,54.0
2,31,FALSE,Kansas City,35,36,Baltimore,KC,-4.0,54.5
2,32,FALSE,Green Bay,35,17,Detroit,GB,-11.5,48.0
3,33,FALSE,Carolina,24,9,Houston,CAR,-9.0,43.5
3,34,FALSE,Buffalo,43,21,Washington,BUF,-7.0,45.5
3,35,FALSE,Cleveland,26,6,Chicago,CLE,-7.5,44.5
3,36,FALSE,Baltimore,19,17,Detroit,BAL,-7.5,50.5
3,37,FALSE,Arizona,31,19,Jacksonville,ARI,-7.5,51.5
3,38,FALSE,Kansas City,24,30,Los Angeles (C),KC,-7.0,54.5
3,39,FALSE,New England,13,28,New Orleans,NE,-3.0,42.5
3,40,FALSE,New York (G),14,17,Atlanta,NYG,-3.0,47.5
3,41,FALSE,Pittsburgh,10,24,Cincinnati,PIT,-3.0,43.0
3,42,FALSE,Tennessee,25,16,Indianapolis,TEN,-5.5,47.5
3,43,FALSE,Denver,26,0,New York (J),DEN,-10.0,41.5
3,44,FALSE,Las Vegas,31,28,Miami,LV,-4.0,44.0
3,45,FALSE,Tampa Bay,24,34,Los Angeles (R),TB,-1.5,55.5
3,46,FALSE,Seattle,17,30,Minnesota,SEA,-2.0,55.0
3,47,FALSE,San Francisco,28,30,Green Bay,SF,-3.0,50.5
3,48,FALSE,Dallas,41,21,Philadelphia,DAL,-3.5,51.5
4,49,FALSE,Cincinnati,24,21,Jacksonville,CIN,-7.5,46.5
4,50,FALSE,Washington,34,30,Atlanta,WAS,-2.0,48.0
4,51,FALSE,Buffalo,40,0,Houston,BUF,-17.5,47.0
4,52,FALSE,Chicago,24,14,Detroit,CHI,-3.0,41.5
4,53,FALSE,Dallas,36,28,Carolina,DAL,-4.0,51.5
4,54,FALSE,Miami,17,27,Indianapolis,MIA,-2.5,42.5
4,55,FALSE,Cleveland,14,7,Minnesota,CLE,-1.0,51.5
4,56,FALSE,New Orleans,21,27,New York (G),NO,-7.0,41.5
4,57,FALSE,Tennessee,24,27,New York (J),TEN,-6.0,44.0
4,58,FALSE,Kansas City,42,30,Philadelphia,KC,-7.0,54.5
4,59,FALSE,Los Angeles (R),20,37,Arizona,LAR,-4.0,54.5
4,60,FALSE,San Francisco,21,28,Seattle,SF,-2.5,52.0
4,61,FALSE,Baltimore,23,7,Denver,BAL,-1.0,44.0
4,62,FALSE,Green Bay,27,17,Pittsburgh,GB,-6.0,44.5
4,63,FALSE,Tampa Bay,19,17,New England,TB,-7.0,49.5
4,64,FALSE,Los Angeles (C),28,14,Las Vegas,LAC,-3.0,52.0
5,65,FALSE,Los Angeles (R),26,17,Seattle,LAR,-2.5,54.5
5,66,FALSE,Atlanta,27,20,New York (J),ATL,-2.5,45.0
5,67,FALSE,Carolina,18,21,Philadelphia,CAR,-3.0,46.0
5,68,FALSE,Green Bay,25,22,Cincinnati,GB,-3.0,51.0
5,69,FALSE,New England,25,22,Houston,NE,-8.0,39.0
5,70,FALSE,Tennessee,37,19,Jacksonville,TEN,-4.5,48.5
5,71,FALSE,Minnesota,19,17,Detroit,MIN,-10.0,49.5
5,72,FALSE,Denver,19,27,Pittsburgh,DEN,-1.5,39.5
5,73,FALSE,Tampa Bay,45,17,Miami,TB,-10.0,48.0
5,74,FALSE,New Orleans,33,22,Washington,NO,-2.5,43.5
5,75,FALSE,Las Vegas,9,20,Chicago,LV,-5.5,45.5
5,76,FALSE,Los Angeles (C),47,42,Cleveland,LAC,-2.5,46.5
5,77,FALSE,Arizona,17,10,San Francisco,ARI,-5.0,48.5
5,78,FALSE,Dallas,44,20,New York (G),DAL,-7.0,52.5
5,79,FALSE,Kansas City,20,38,Buffalo,KC,-2.5,56.5
5,80,FALSE,Baltimore,31,25,Indianapolis,BAL,-7.0,46.0
6,81,FALSE,Tampa Bay,28,22,Philadelphia,TB,-7.0,52.5
6,82,FALSE,Miami,20,23,Jacksonville,MIA,-3.0,47.0
6,83,FALSE,Baltimore,34,6,Los Angeles (C),BAL,-2.5,51.5
6,84,FALSE,Minnesota,34,28,Carolina,MIN,-2.5,45.5
6,85,FALSE,Green Bay,24,14,Chicago,GB,-6.0,44.0
6,86,FALSE,Cincinnati,34,11,Detroit,CIN,-3.5,47.0
6,87,FALSE,Indianapolis,31,3,Houston,IND,-10.0,43.5
6,88,FALSE,Los Angeles (R),38,11,New York (G),LAR,-9.0,48.5
6,89,FALSE,Kansas City,31,13,Washington,KC,-7.0,54.0
6,90,FALSE,Cleveland,14,37,Arizona,CLE,-3.5,48.5
6,91,FALSE,Denver,24,34,Las Vegas,DEN,-4.0,43.5
6,92,FALSE,Dallas,35,29,New England,DAL,-3.5,50.5
6,93,FALSE,Pittsburgh,23,20,Seattle,PIT,-5.0,43.0
6,94,FALSE,Buffalo,31,34,Tennessee,BUF,-6.0,53.5
7,95,FALSE,Cleveland,17,14,Denver,CLE,-1.5,41.5
7,96,FALSE,Baltimore,17,41,Cincinnati,BAL,-6.5,45.5
7,97,FALSE,Green Bay,24,10,Washington,GB,-8.0,48.0
7,98,FALSE,Atlanta,30,28,Miami,ATL,-2.0,47.5
7,99,FALSE,New England,54,13,New York (J),NE,-7.0,42.5
7,100,FALSE,Carolina,3,25,New York (G),CAR,-3.0,42.5
7,101,FALSE,Kansas City,3,27,Tennessee,KC,-4.0,57.5
7,102,FALSE,Las Vegas,33,22,Philadelphia,LV,-3.0,48.5
7,103,FALSE,Los Angeles (R),28,19,Detroit,LAR,-16.5,50.5
7,104,FALSE,Arizona,31,5,Houston,ARI,-18.0,47.5
7,105,FALSE,Tampa Bay,38,3,Chicago,TB,-11.5,47.0
7,106,FALSE,San Francisco,18,30,Indianapolis,SF,-4.0,42.5
7,107,FALSE,New Orleans,13,10,Seattle,NO,-4.5,42.5
8,108,FALSE,Arizona,21,24,Green Bay,ARI,-6.5,50.5
8,109,FALSE,Atlanta,13,19,Carolina,ATL,-3.0,47.0
8,110,FALSE,Buffalo,26,11,Miami,BUF,-14.0,49.0
8,111,FALSE,San Francisco,33,22,Chicago,SF,-4.0,39.5
8,112,FALSE,Cleveland,10,15,Pittsburgh,CLE,-4.5,43.0
8,113,FALSE,Philadelphia,44,6,Detroit,PHI,-3.5,48.0
8,114,FALSE,Los Angeles (R),38,22,Houston,LAR,-16.0,46.5
8,115,FALSE,Indianapolis,31,34,Tennessee,IND,-3.0,51.0
8,116,FALSE,Cincinnati,31,34,New York (J),CIN,-11.0,43.0
8,117,FALSE,Los Angeles (C),24,27,New England,LAC,-4.5,49.5
8,118,FALSE,Seattle,31,7,Jacksonville,SEA,-3.5,44.5
8,119,FALSE,Denver,17,10,Washington,DEN,-3.5,45.0
8,120,FALSE,Tampa Bay,27,36,New Orleans,TB,-4.5,49.0
8,121,FALSE,Minnesota,16,20,Dallas,MIN,-3.0,51.5
8,122,FALSE,Kansas City,20,17,New York (G),KC,-10.0,52.0
9,123,FALSE,Indianapolis,45,30,New York (J),IND,-10.5,46.0
9,124,FALSE,Baltimore,34,31,Minnesota,BAL,-6.0,50.5
9,125,FALSE,New England,24,6,Carolina,NE,-3.5,41.0
9,126,FALSE,Cincinnati,16,41,Cleveland,CIN,-2.5,47.5
9,127,FALSE,Dallas,16,30,Denver,DAL,-10.0,48.5
9,128,FALSE,Buffalo,6,9,Jacksonville,BUF,-14.5,48.5
9,129,FALSE,Miami,17,9,Houston,MIA,-5.5,46.5
9,130,FALSE,New Orleans,25,27,Atlanta,NO,-6.0,41.5
9,131,FALSE,Las Vegas,16,23,New York (G),LV,-3.0,46.5
9,132,FALSE,Los Angeles (C),27,24,Philadelphia,LAC,-1.5,49.0
9,133,FALSE,Kansas City,13,7,Green Bay,KC,-7.5,48.0
9,134,FALSE,San Francisco,17,31,Arizona,SF,-3.5,45.0
9,135,FALSE,Los Angeles (R),16,28,Tennessee,LAR,-7.5,52.5
