week,game_id,home_team,away_team
1,1,Los Angeles (R),Buffalo
1,2,Atlanta,New Orleans
1,3,Carolina,Cleveland
1,4,Chicago,San Francisco
1,5,Cincinnati,Pittsburgh
1,6,Houston,Indianapolis
1,7,Detroit,Philadelphia
1,8,Washington,Jacksonville
1,9,Miami,New England
1,10,New York (J),Baltimore
1,11,Arizona,Kansas City
1,12,Minnesota,Green Bay
1,13,Tennessee,New York (G)
1,14,Los Angeles (C),Las Vegas
1,15,Dallas,Tampa Bay
1,16,Seattle,Denver
2,17,Kansas City,Los Angeles (C)
2,18,New York (G),Carolina
2,19,Cleveland,New York (J)
2,20,Jacksonville,Indianapolis
2,21,Detroit,Washington
2,22,Baltimore,Miami
2,23,New Orleans,Tampa Bay
2,24,Pittsburgh,New England
2,25,Los Angeles (R),Atlanta
2,26,San Francisco,Seattle
2,27,Dallas,Cincinnati
2,28,Las Vegas,Arizona
2,29,Denver,Houston
2,30,Green Bay,Chicago
2,31,Buffalo,Tennessee
2,32,Philadelphia,Minnesota
3,33,Cleveland,Pittsburgh
3,34,Miami,Buffalo
3,35,Carolina,New Orleans
3,36,Chicago,Houston
3,37,New York (J),Cincinnati
3,38,Indianapolis,Kansas City
3,39,Minnesota,Detroit
3,40,New England,Baltimore
3,41,Tennessee,Las Vegas
3,42,Washington,Philadelphia
3,43,Los Angeles (C),Jacksonville
3,44,Seattle,Atlanta
3,45,Arizona,Los Angeles (R)
3,46,Tampa Bay,Green Bay
3,47,Denver,San Francisco
3,48,New York (G),Dallas
4,49,Cincinnati,Miami
4,50,New Orleans,Minnesota
4,51,Atlanta,Cleveland
4,52,Baltimore,Buffalo
4,53,New York (G),Chicago
4,54,Indianapolis,Tennessee
4,55,Dallas,Washington
4,56,Detroit,Seattle
4,57,Houston,Los Angeles (C)
4,58,Philadelphia,Jacksonville
4,59,Pittsburgh,New York (J)
4,60,Carolina,Arizona
4,61,Las Vegas,Denver
4,62,Green Bay,New England
4,63,Tampa Bay,Kansas City
4,64,San Francisco,Los Angeles (R)
5,65,Denver,Indianapolis
5,66,Green Bay,New York (G)
5,67,Tampa Bay,Atlanta
5,68,Buffalo,Pittsburgh
5,69,Minnesota,Chicago
5,70,Cleveland,Los Angeles (C)
5,71,New England,Detroit
5,72,Jacksonville,Houston
5,73,New York (J),Miami
5,74,New Orleans,Seattle
5,75,Washington,Tennessee
5,76,Carolina,San Francisco
5,77,Arizona,Philadelphia
5,78,Los Angeles (R),Dallas
5,79,Baltimore,Cincinnati
5,80,Kansas City,Las Vegas
6,81,Chicago,Washington
6,82,Atlanta,San Francisco
6,83,New Orleans,Cincinnati
6,84,Cleveland,New England
6,85,Indianapolis,Jacksonville
6,86,Green Bay,New York (J)
6,87,Miami,Minnesota
6,88,New York (G),Baltimore
6,89,Pittsburgh,Tampa Bay
6,90,Los Angeles (R),Carolina
6,91,Seattle,Arizona
6,92,Kansas City,Buffalo
6,93,Philadelphia,Dallas
6,94,Los Angeles (C),Denver
7,95,Arizona,New Orleans
7,96,Cincinnati,Atlanta
7,97,Carolina,Tampa Bay
7,98,Baltimore,Cleveland
7,99,Tennessee,Indianapolis
7,100,Dallas,Detroit
7,101,Washington,Green Bay
7,102,Jacksonville,New York (G)
7,103,Las Vegas,Houston
7,104,Denver,New York (J)
7,105,San Francisco,Kansas City
7,106,Los Angeles (C),Seattle
7,107,Miami,Pittsburgh
7,108,New England,Chicago
8,109,Tampa Bay,Baltimore
8,110,Philadelphia,Pittsburgh
8,111,New York (J),New England
8,112,New Orleans,Las Vegas
8,113,Minnesota,Arizona
8,114,Detroit,Miami
8,115,Dallas,Chicago
8,116,Atlanta,Carolina
8,117,Houston,Tennessee
8,118,Indianapolis,Washington
8,119,Los Angeles (R),San Francisco
8,120,Seattle,New York (G)
8,121,Buffalo,Green Bay
8,122,Cleveland,Cincinnati
8,123,Jacksonville,Denver
9,124,Houston,Philadelphia
9,125,New England,Indianapolis
9,126,Detroit,Green Bay
9,127,Atlanta,Los Angeles (C)
9,128,New York (J),Buffalo
9,129,Washington,Minnesota
9,130,Cincinnati,Carolina
9,131,Jacksonville,Las Vegas
9,132,Chicago,Miami
9,133,Arizona,Seattle
9,134,Tampa Bay,Los Angeles (R)
9,135,Kansas City,Tennessee
9,136,New Orleans,Baltimore
10,137,Carolina,Atlanta
10,138,Tampa Bay,Seattle
10,139,Buffalo,Minnesota
10,140,Tennessee,Denver
10,141,Pittsburgh,New Orleans
10,142,New York (G),Houston
10,143,Miami,Cleveland
10,144,Kansas City,Jacksonville
10,145,Chicago,Detroit
10,146,Las Vegas,Indianapolis
10,147,Green Bay,Dallas
10,148,Los Angeles (R),Arizona
10,149,San Francisco,Los Angeles (C)
10,150,Philadelphia,Washington
11,151,Green Bay,Tennessee
11,152,Atlanta,Chicago
11,153,Baltimore,Carolina
11,154,Buffalo,Cleveland
11,155,Houston,Washington
11,156,Indianapolis,Philadelphia
11,157,New England,New York (J)
11,158,New Orleans,Los Angeles (R)
11,159,New York (G),Detroit
11,160,Denver,Las Vegas
11,161,Minnesota,Dallas
11,162,Pittsburgh,Cincinnati
11,163,Los Angeles (C),Kansas City
11,164,Arizona,San Francisco
12,165,Detroit,Buffalo
12,166,Dallas,New York (G)
12,167,Minnesota,New England
12,168,Miami,Houston
12,169,Jacksonville,Baltimore
12,170,Carolina,Denver
12,171,Tennessee,Cincinnati
12,172,Washington,Atlanta
12,173,New York (J),Chicago
12,174,Cleveland,Tampa Bay
12,175,Seattle,Las Vegas
12,176,Arizona,Los Angeles (C)
12,177,Kansas City,Los Angeles (R)
12,178,San Francisco,New Orleans
12,179,Philadelphia,Green Bay
12,180,Indianapolis,Pittsburgh
13,181,New England,Buffalo
13,182,Baltimore,Denver
13,183,Minnesota,New York (J)
13,184,Philadelphia,Tennessee
13,185,Houston,Cleveland
13,186,New York (G),Washington
13,187,Detroit,Jacksonville
13,188,Atlanta,Pittsburgh
13,189,Chicago,Green Bay
13,190,San Francisco,Miami
13,191,Los Angeles (R),Seattle
13,192,Cincinnati,Kansas City
13,193,Las Vegas,Los Angeles (C)
13,194,Dallas,Indianapolis
13,195,Tampa Bay,New Orleans
14,196,Los Angeles (R),Las Vegas
14,197,Detroit,Minnesota
14,198,New York (G),Philadelphia
14,199,Buffalo,New York (J)
14,200,Cincinnati,Cleveland
14,201,Dallas,Houston
14,202,Tennessee,Jacksonville
14,203,Pittsburgh,Baltimore
14,204,Denver,Kansas City
14,205,Seattle,Carolina
14,206,San Francisco,Tampa Bay
14,207,Los Angeles (C),Miami
14,208,Arizona,New England
15,209,Seattle,San Francisco
15,210,Minnesota,Indianapolis
15,211,Cleveland,Baltimore
15,212,Buffalo,Miami
15,213,Chicago,Philadelphia
15,214,Houston,Kansas City
15,215,Jacksonville,Dallas
15,216,New York (J),Detroit
15,217,New Orleans,Atlanta
15,218,Carolina,Pittsburgh
15,219,Denver,Arizona
15,220,Las Vegas,New England
15,221,Tampa Bay,Cincinnati
15,222,Los Angeles (C),Tennessee
15,223,Washington,New York (G)
15,224,Green Bay,Los Angeles (R)
16,225,New York (J),Jacksonville
16,226,Chicago,Buffalo
16,227,Kansas City,Seattle
16,228,New England,Cincinnati
16,229,Carolina,Detroit
16,230,Minnesota,New York (G)
16,231,Tennessee,Houston
16,232,Cleveland,New Orleans
16,233,Baltimore,Atlanta
16,234,San Francisco,Washington
16,235,Dallas,Philadelphia
16,236,Pittsburgh,Las Vegas
16,237,Miami,Green Bay
16,238,Los Angeles (R),Denver
16,239,Arizona,Tampa Bay
16,240,Indianapolis,Los Angeles (C)
17,241,Tennessee,Dallas
17,242,Kansas City,Denver
17,243,Philadelphia,New Orleans
17,244,Houston,Jacksonville
17,245,New York (G),Indianapolis
17,246,Detroit,Chicago
17,247,Tampa Bay,Carolina
17,248,New England,Miami
17,249,Washington,Cleveland
17,250,Atlanta,Arizona
17,251,Las Vegas,San Francisco
