week,game_id,playoff,home_team,home_score,away_score,away_team,favorite,spread,over_under
1,1,FALSE,Los Angeles (R),10,31,Buffalo,BUF,-2.5,52
1,2,FALSE,Atlanta,26,27,New Orleans,NO,-5.5,43.5
1,3,FALSE,Carolina,24,26,Cleveland,CAR,-1.5,42
1,4,FALSE,Chicago,19,10,San Francisco,SF,-6,38
1,5,FALSE,Cincinnati,20,23,Pittsburgh,CIN,-7,44
1,6,FALSE,Detroit,35,38,Philadelphia,PHI,-6,48.5
1,7,FALSE,Houston,20,20,Indianapolis,IND,-7,45.5
1,8,FALSE,Miami,20,7,New England,MIA,-3,46
1,9,FALSE,New York (J),9,24,Baltimore,BAL,-6.5,44
1,10,FALSE,Washington,28,22,Jacksonville,WAS,-3,43
1,11,FALSE,Arizona,21,44,Kansas City,KC,-6.5,54
1,12,FALSE,Los Angeles (C),24,19,Las Vegas,LAC,-3.5,52.5
1,13,FALSE,Minnesota,23,7,Green Bay,MIN,-2.5,46
1,14,FALSE,Tennessee,20,21,New York (G),TEN,-5,44
1,15,FALSE,Dallas,3,19,Tampa Bay,TB,-2,50
1,16,FALSE,Seattle,17,16,Denver,DEN,-6.5,44.5
2,17,FALSE,Kansas City,27,24,Los Angeles (C),KC,-4,54
2,18,FALSE,Baltimore,38,42,Miami,BAL,-3.5,44.5
2,19,FALSE,Cleveland,30,31,New York (J),CLE,-6.5,39.5
2,20,FALSE,Detroit,36,27,Washington,DET,-1.5,48.5
2,21,FALSE,Jacksonville,24,0,Indianapolis,IND,-3,45
2,22,FALSE,New Orleans,10,20,Tampa Bay,TB,-2.5,44
2,23,FALSE,New York (G),19,16,Carolina,CAR,-2,43.5
2,24,FALSE,Pittsburgh,14,17,New England,NE,-2.5,40.5
2,25,FALSE,Los Angeles (R),31,27,Atlanta,LAR,-10,46.5
2,26,FALSE,San Francisco,27,7,Seattle,SF,-9,40.5
2,27,FALSE,Dallas,20,17,Cincinnati,CIN,-7,42
2,28,FALSE,Denver,16,9,Houston,DEN,-10,45.5
2,29,FALSE,Las Vegas,23,29,Arizona,LV,-5.5,51.5
2,30,FALSE,Green Bay,27,10,Chicago,GB,-10,41.5
2,31,FALSE,Buffalo,41,7,Tennessee,BUF,-10,47.5
2,32,FALSE,Philadelphia,24,7,Minnesota,PHI,-2.5,50.5
3,33,FALSE,Cleveland,29,17,Pittsburgh,CLE,-4.5,38.5
3,34,FALSE,Carolina,22,14,New Orleans,NO,-2.5,41
3,35,FALSE,Chicago,23,20,Houston,CHI,-3,39
3,36,FALSE,Indianapolis,20,17,Kansas City,KC,-5.5,51
3,37,FALSE,Miami,21,19,Buffalo,BUF,-4.5,53
3,38,FALSE,Minnesota,28,24,Detroit,MIN,-6,52.5
3,39,FALSE,New England,26,37,Baltimore,BAL,-2.5,44
3,40,FALSE,New York (J),12,27,Cincinnati,CIN,-6,45
3,41,FALSE,Tennessee,24,22,Las Vegas,LV,-2,45.5
3,42,FALSE,Washington,8,24,Philadelphia,PHI,-6,47.5
3,43,FALSE,Los Angeles (C),10,38,Jacksonville,LAC,-3,42.5
3,44,FALSE,Arizona,12,20,Los Angeles (R),LAR,-3.5,48.5
3,45,FALSE,Seattle,23,27,Atlanta,SEA,-1,42
3,46,FALSE,Tampa Bay,12,14,Green Bay,TB,-1,42
3,47,FALSE,Denver,11,10,San Francisco,SF,-1.5,44.5
3,48,FALSE,New York (G),16,23,Dallas,NYG,-1,39
4,49,FALSE,Cincinnati,27,15,Miami,CIN,-3.5,47.5
4,50,FALSE,Atlanta,23,20,Cleveland,CLE,-1,47.5
4,51,FALSE,Baltimore,20,23,Buffalo,BUF,-3,51
4,52,FALSE,Dallas,25,10,Washington,DAL,-3,41.5
4,53,FALSE,Detroit,45,48,Seattle,DET,-3.5,48
4,54,FALSE,Houston,24,34,Los Angeles (C),LAC,-6,45
4,55,FALSE,Indianapolis,17,24,Tennessee,IND,-3.5,43
4,56,FALSE,New Orleans,25,28,Minnesota,MIN,-3.5,42
4,57,FALSE,New York (G),20,12,Chicago,NYG,-3,39
4,58,FALSE,Philadelphia,29,21,Jacksonville,PHI,-6.5,45.5
